text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
"EdSurge: there should be more correspondents between parents and policymakers who can explain hand-in-hand the purpose of data, #DSE16",FALSE,0,NA,2/5/2016 3:02,FALSE,NA,6.95367E+17,NA,<a href=\https://mobile.twitter.com\ rel=\nofollow\>Mobile Web (M5)</a>,ak3860,0,FALSE,FALSE,NA,NA,
Article also highlights how new and unformed this field is right now. Future so bright! B-) (emoji w. sunglasses)? #DSE16,FALSE,0,NA,2/5/2016 5:56,FALSE,NA,6.95335E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,claireninja,0,FALSE,FALSE,NA,NA,
Re: students owning their own data profile. Might take away some of the fear/anxiety around privacy concerns &amp; personal data mining #DSE16,FALSE,0,NA,2/5/2016 5:55,FALSE,NA,6.95335E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,claireninja,0,FALSE,FALSE,NA,NA,
https://t.co/3klBNstoes good point a/b personality &amp; learning. How a/b emotions? How do 2 account 4 that in predictive analytics? #DSE16,FALSE,0,NA,2/5/2016 5:51,FALSE,NA,6.95334E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,claireninja,0,FALSE,FALSE,NA,NA,
Mb data collection in education needs its own specific PR campaign to better educate parents/students/etc &amp; improve comfort level.  #DSE16,FALSE,0,NA,2/5/2016 5:31,FALSE,NA,6.95329E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,claireninja,0,FALSE,FALSE,NA,NA,
Wonder if students/parents are opting out of data collection bc others use analytics for targeted marketing that can feel invasive #DSE16,FALSE,0,NA,2/5/2016 5:29,FALSE,NA,6.95328E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,claireninja,0,FALSE,FALSE,NA,NA,
"#DSE16 the problem is not about collecting data, is what data are you collecting, thats why ppl opt-out of tests that dont reflect reality",FALSE,0,NA,2/4/2016 11:08,FALSE,NA,6.95051E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,AndreinaYulis,0,FALSE,FALSE,NA,NA,
\A Scarce Breed\ - Baker et al. Check it out! https://t.co/IWVNZJRcNs #DSE16,FALSE,0,NA,2/4/2016 4:48,FALSE,NA,6.94956E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,bhavana_budithi,0,FALSE,FALSE,NA,NA,
Adaptive and personalized learning can break stereotyped educational and career boundaries #EdInIndia #DSE16 https://t.co/K8I7qhBOkP,FALSE,1,NA,2/4/2016 4:43,FALSE,NA,6.94954E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,bhavana_budithi,0,FALSE,FALSE,NA,NA,
"Hi guys, just set up my twitter...: Do we still need to install the Firefox version of Zotero if our default browser is chrome? #DSE16 #DSE",FALSE,0,NA,2/4/2016 1:57,FALSE,NA,6.94913E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,Fengmei_L,0,FALSE,FALSE,NA,NA,
"Stealth assessment w/ defined consent should be too hard, right? https://t.co/jEVP1DoZ1M #DSE16 https://t.co/XLj2fnhj4k",FALSE,0,NA,2/4/2016 0:48,FALSE,NA,6.94895E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,MarsagliaMatt,0,FALSE,FALSE,NA,NA,
