"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#dse16 Data driven leaning is only part of the answer. Teachers must be an active part of the process. Bad teacher=bad learning.",FALSE,2,NA,2016-02-22 22:17:12,FALSE,NA,"701893528184606720",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","EBriceJr",0,FALSE,FALSE,NA,NA
"RT @AVTechnologyMag: Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with our webinar this week @SCNmag @PeerlessAV https:/…",FALSE,0,NA,2016-02-22 15:10:41,FALSE,NA,"701786192480571392",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","PeerlessAV",1,TRUE,FALSE,NA,NA
"Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with our webinar this week @SCNmag @PeerlessAV https://t.co/UaqCeyGkPF",FALSE,2,NA,2016-02-22 14:44:16,FALSE,NA,"701779543745503233",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","AVTechnologyMag",1,FALSE,FALSE,NA,NA
"RT @yplucyc: Want a 5** in the DSE English Language paper? @youngposthk has you covered https://t.co/fllPnSxS3b @SCMP_News #DSE16",FALSE,0,NA,2016-02-22 09:53:11,FALSE,NA,"701706289823379456",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Lauren_YP",1,TRUE,FALSE,NA,NA
"Want a 5** in the DSE English Language paper? @youngposthk has you covered https://t.co/fllPnSxS3b @SCMP_News #DSE16",FALSE,3,NA,2016-02-22 06:15:45,FALSE,NA,"701651570732060672",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","yplucyc",1,FALSE,FALSE,NA,NA
"Getting the schools and teachers into the 21st century would be the first step! #DSE16 https://t.co/7ZdPe88D5h",FALSE,0,NA,2016-02-22 03:59:02,FALSE,NA,"701617167343681536",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Himes_Resekzas",0,FALSE,FALSE,NA,NA
"How can we avoid that the idea of personalized learning leads to the depersonalization of education? #DSE16 https://t.co/qxaudvpsg0",FALSE,0,NA,2016-02-22 03:55:29,FALSE,NA,"701616274812567553",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Himes_Resekzas",0,FALSE,FALSE,NA,NA
"#dse16 personalization  (adaptive or customized) only works 4 domains w/ well structured problems not ill-structured.",FALSE,0,NA,2016-02-21 20:00:29,FALSE,NA,"701496733226950656",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sbr341",0,FALSE,FALSE,NA,NA
"RT @IntuiLab: Great summary @NEC_RV! IntuiFace covers most of your retail technology trends. Let’s meet at #DSE16? https://t.co/5GfMmleuSF",FALSE,0,NA,2016-02-21 05:32:58,FALSE,NA,"701278416365035521",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","NEC_RV",1,TRUE,FALSE,NA,NA
"Great summary @NEC_RV! IntuiFace covers most of your retail technology trends. Let’s meet at #DSE16? https://t.co/5GfMmleuSF",FALSE,2,NA,2016-02-21 05:09:00,FALSE,NA,"701272386310709250",NA,"<a href=\"http://bufferapp.com\" rel=\"nofollow\">Buffer</a>","IntuiLab",1,FALSE,FALSE,NA,NA
